candidate,electorate,party,progress
 Rebecca VASSAROTTI,Kurrajong,THE GREENS,"[1685.0, 1685.0, 1722.0, 1725.0, 1725.0, 1735.0, 1735.0, 1735.0, 1735.0, 1737.0, 1737.0, 1749.0, 1749.0, 1777.0, 1777.0, 1783.0, 1783.0, 1792.0, 1792.0, 1802.0, 1803.0, 1856.0, 1856.0, 1876.0, 1876.0, 1938.0, 1938.0, 1986.0, 1989.0, 2682.0, 2688.0, 2699.0, 2699.0, 2776.0, 2779.0, 3120.0, 3121.0, 3173.0, 3407.0, 3407.0, 3431.0, 127.0, 75.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Shane RATTENBURY,Kurrajong,THE GREENS,"[6307.0, 6307.0, 6667.0, 6670.0, 6670.0, 6680.0, 6680.0, 6684.0, 6684.0, 6694.0, 6695.0, 6704.0, 6704.0, 6750.0, 6750.0, 6768.0, 6768.0, 6794.0, 6794.0, 6812.0, 6815.0, 6880.0, 6880.0, 6920.0, 6920.0, 7043.0, 7044.0, 7095.0, 7098.0, 7594.0, 7602.0, 7642.0, 7643.0, 7820.0, 7841.0, 8219.0, 8219.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0]"
 Chris BUCKNELL,Kurrajong,LIKE CANBERRA,"[210.0, 210.0, 215.0, 218.0, 218.0, 357.0, 357.0, 361.0, 361.0, 362.0, 362.0, 369.0, 369.0, 5.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Maryann MUSSARED,Kurrajong,LIKE CANBERRA,"[209.0, 209.0, 213.0, 215.0, 215.0, 4.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Brooke CURTIN,Kurrajong,CANBERRA LIBERALS,"[2739.0, 2739.0, 2752.0, 2753.0, 2753.0, 2753.0, 2753.0, 2757.0, 2757.0, 2761.0, 2761.0, 2766.0, 2766.0, 2775.0, 2775.0, 2778.0, 2778.0, 2791.0, 2791.0, 2801.0, 2801.0, 2822.0, 2822.0, 2858.0, 2858.0, 2876.0, 2876.0, 2965.0, 2965.0, 2969.0, 2969.0, 3279.0, 3279.0, 3299.0, 3299.0, 3521.0, 3521.0, 3521.0, 3542.0, 3542.0, 3546.0, 3619.0, 3619.0, 3622.0, 20.0, 20.0, nan, nan, nan, nan, nan, nan, nan]"
 Candice BURCH,Kurrajong,CANBERRA LIBERALS,"[2859.0, 2859.0, 2876.0, 2876.0, 2876.0, 2876.0, 2876.0, 2886.0, 2886.0, 2893.0, 2893.0, 2899.0, 2899.0, 2914.0, 2914.0, 2921.0, 2921.0, 2934.0, 2934.0, 2949.0, 2949.0, 2969.0, 2969.0, 3006.0, 3006.0, 3032.0, 3032.0, 3129.0, 3129.0, 3138.0, 3138.0, 3419.0, 3419.0, 3479.0, 3481.0, 3659.0, 3660.0, 3660.0, 3693.0, 3693.0, 3696.0, 3760.0, 3762.0, 3763.0, 4918.0, 4918.0, 4920.0, 28.0, 26.0, nan, nan, nan, nan]"
 Elizabeth LEE,Kurrajong,CANBERRA LIBERALS,"[4429.0, 4429.0, 4464.0, 4467.0, 4467.0, 4469.0, 4469.0, 4478.0, 4478.0, 4493.0, 4493.0, 4497.0, 4497.0, 4513.0, 4514.0, 4526.0, 4526.0, 4545.0, 4545.0, 4573.0, 4574.0, 4606.0, 4606.0, 4681.0, 4681.0, 4713.0, 4713.0, 4806.0, 4807.0, 4817.0, 4819.0, 5154.0, 5154.0, 5187.0, 5189.0, 5445.0, 5445.0, 5448.0, 5521.0, 5521.0, 5529.0, 5649.0, 5651.0, 5657.0, 6818.0, 6818.0, 6821.0, 9250.0, 9250.0, 9250.0, 8142.0, 8142.0, 8142.0]"
 Peter McKAY,Kurrajong,CANBERRA LIBERALS,"[1279.0, 1279.0, 1283.0, 1284.0, 1284.0, 1285.0, 1285.0, 1287.0, 1287.0, 1290.0, 1290.0, 1293.0, 1293.0, 1301.0, 1301.0, 1302.0, 1302.0, 1311.0, 1311.0, 1344.0, 1344.0, 1359.0, 1359.0, 1374.0, 1374.0, 1386.0, 1386.0, 1492.0, 1493.0, 1498.0, 1499.0, 6.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Steve DOSZPOT,Kurrajong,CANBERRA LIBERALS,"[3834.0, 3834.0, 3863.0, 3865.0, 3865.0, 3868.0, 3868.0, 3873.0, 3873.0, 3888.0, 3889.0, 3891.0, 3891.0, 3910.0, 3910.0, 3923.0, 3923.0, 3931.0, 3931.0, 3944.0, 3944.0, 3965.0, 3965.0, 4026.0, 4026.0, 4057.0, 4057.0, 4148.0, 4148.0, 4161.0, 4169.0, 4587.0, 4587.0, 4606.0, 4607.0, 4813.0, 4814.0, 4815.0, 4840.0, 4840.0, 4845.0, 4881.0, 4883.0, 4884.0, 5821.0, 5821.0, 5823.0, 7595.0, 7596.0, 7600.0, 8672.0, 8142.0, 8142.0]"
 Lucinda SPIER,Kurrajong,CANBERRA COMMUNITY VOTERS,"[217.0, 217.0, 218.0, 221.0, 221.0, 226.0, 226.0, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Mike HETTINGER,Kurrajong,CANBERRA COMMUNITY VOTERS,"[299.0, 299.0, 301.0, 302.0, 302.0, 306.0, 306.0, 371.0, 371.0, 371.0, 371.0, 376.0, 376.0, 396.0, 396.0, 2.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Richard FARMER,Kurrajong,CANBERRA COMMUNITY VOTERS,"[373.0, 373.0, 376.0, 380.0, 380.0, 383.0, 383.0, 448.0, 448.0, 448.0, 448.0, 457.0, 457.0, 474.0, 474.0, 699.0, 699.0, 726.0, 726.0, 732.0, 732.0, 795.0, 795.0, 3.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 John HAYDON,Kurrajong,SUSTAINABLE AUSTRALIA (ACT),"[356.0, 356.0, 360.0, 365.0, 365.0, 367.0, 367.0, 373.0, 373.0, 375.0, 375.0, 569.0, 569.0, 594.0, 594.0, 607.0, 607.0, 630.0, 630.0, 637.0, 637.0, 4.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Oliver TYE,Kurrajong,SUSTAINABLE AUSTRALIA (ACT),"[289.0, 289.0, 292.0, 293.0, 293.0, 298.0, 298.0, 303.0, 303.0, 305.0, 305.0, 3.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Graeme STRACHAN,Kurrajong,UNGROUPED,"[150.0, 150.0, 152.0, 2.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Jeff ISAACS,Kurrajong,UNGROUPED,"[602.0, 602.0, 610.0, 625.0, 625.0, 626.0, 626.0, 636.0, 636.0, 637.0, 637.0, 645.0, 645.0, 659.0, 659.0, 666.0, 666.0, 717.0, 717.0, 720.0, 720.0, 796.0, 797.0, 864.0, 864.0, 9.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Marea FATSEAS,Kurrajong,UNGROUPED,"[1597.0, 1597.0, 1603.0, 1638.0, 1638.0, 1646.0, 1646.0, 1660.0, 1660.0, 1661.0, 1661.0, 1668.0, 1668.0, 1693.0, 1693.0, 1732.0, 1732.0, 1944.0, 1945.0, 1947.0, 1947.0, 2058.0, 2058.0, 2224.0, 2224.0, 2490.0, 2491.0, 2547.0, 2547.0, 2556.0, 2559.0, 2571.0, 2571.0, 2596.0, 2597.0, 12.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Peter ROBINSON,Kurrajong,UNGROUPED,"[388.0, 388.0, 391.0, 441.0, 441.0, 442.0, 442.0, 449.0, 449.0, 450.0, 450.0, 454.0, 454.0, 476.0, 476.0, 490.0, 490.0, 3.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
exhausted,Kurrajong,nan,"[nan, nan, nan, 1.0, 1.0, 2.0, 2.0, 5.0, 5.0, 5.0, 5.0, 7.0, 7.0, 14.0, 14.0, 16.0, 16.0, 19.0, 19.0, 22.0, 22.0, 46.0, 47.0, 189.0, 189.0, 286.0, 287.0, 431.0, 431.0, 463.0, 468.0, 503.0, 506.0, 554.0, 557.0, 1131.0, 1138.0, 1138.0, 1351.0, 1351.0, 1367.0, 2191.0, 2203.0, 2231.0, 2449.0, 2449.0, 2460.0, 2983.0, 2983.0, 2996.0, 2996.0, 2996.0, 4007.0]"
 Rod VICKERS,Murrumbidgee,LIKE CANBERRA,"[338.0, 338.0, 341.0, 341.0, 341.0, 343.0, 343.0, 343.0, 343.0, 345.0, 346.0, 349.0, 350.0, 358.0, 358.0, 547.0, 548.0, 553.0, 553.0, 600.0, 600.0, 606.0, 606.0, 653.0, 653.0, 6.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Shelley DICKERSON,Murrumbidgee,LIKE CANBERRA,"[320.0, 320.0, 324.0, 325.0, 325.0, 326.0, 326.0, 326.0, 326.0, 328.0, 328.0, 331.0, 331.0, 340.0, 340.0, 4.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Bec CODY,Murrumbidgee,ACT LABOR,"[4373.0, 4373.0, 4388.0, 4389.0, 4389.0, 4389.0, 4389.0, 4391.0, 4391.0, 4393.0, 4393.0, 4395.0, 4395.0, 4395.0, 4395.0, 4409.0, 4409.0, 4412.0, 4412.0, 4424.0, 4424.0, 4429.0, 4429.0, 4450.0, 4450.0, 4487.0, 4487.0, 4493.0, 4493.0, 4524.0, 4524.0, 4553.0, 4553.0, 4610.0, 4610.0, 4626.0, 4628.0, 4696.0, 4696.0, 5320.0, 5320.0, 5363.0, 5364.0, 5613.0, 5614.0, 6579.0, 6580.0, 9014.0, 9014.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0]"
 Brendan LONG,Murrumbidgee,ACT LABOR,"[2680.0, 2680.0, 2692.0, 2692.0, 2692.0, 2693.0, 2693.0, 2695.0, 2695.0, 2695.0, 2695.0, 2697.0, 2697.0, 2702.0, 2702.0, 2710.0, 2710.0, 2711.0, 2711.0, 2718.0, 2718.0, 2721.0, 2721.0, 2738.0, 2738.0, 2762.0, 2762.0, 2768.0, 2768.0, 2797.0, 2797.0, 2804.0, 2804.0, 2828.0, 2828.0, 2845.0, 2846.0, 2912.0, 2912.0, 3325.0, 3325.0, 3380.0, 3381.0, 3539.0, 3539.0, 14.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Chris STEEL,Murrumbidgee,ACT LABOR,"[4574.0, 4574.0, 4594.0, 4595.0, 4595.0, 4598.0, 4598.0, 4599.0, 4599.0, 4602.0, 4602.0, 4605.0, 4605.0, 4608.0, 4608.0, 4619.0, 4619.0, 4620.0, 4620.0, 4633.0, 4633.0, 4640.0, 4640.0, 4653.0, 4653.0, 4709.0, 4709.0, 4717.0, 4717.0, 4749.0, 4749.0, 4766.0, 4766.0, 4818.0, 4818.0, 4830.0, 4831.0, 4872.0, 4872.0, 5373.0, 5373.0, 5405.0, 5407.0, 5617.0, 5619.0, 6617.0, 6620.0, 8432.0, 8432.0, 8432.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0]"
 Jennifer NEWMAN,Murrumbidgee,ACT LABOR,"[3260.0, 3260.0, 3270.0, 3273.0, 3273.0, 3274.0, 3274.0, 3274.0, 3274.0, 3274.0, 3274.0, 3278.0, 3278.0, 3285.0, 3285.0, 3306.0, 3306.0, 3308.0, 3308.0, 3318.0, 3318.0, 3331.0, 3331.0, 3345.0, 3345.0, 3376.0, 3376.0, 3380.0, 3380.0, 3398.0, 3398.0, 3449.0, 3449.0, 3484.0, 3484.0, 3550.0, 3551.0, 3596.0, 3596.0, 4154.0, 4156.0, 4196.0, 4198.0, 4360.0, 4360.0, 5324.0, 5325.0, 16.0, nan, nan, nan, nan, nan, nan, nan, nan]"
 Mark KULASINGHAM,Murrumbidgee,ACT LABOR,"[2378.0, 2378.0, 2391.0, 2391.0, 2391.0, 2391.0, 2391.0, 2391.0, 2391.0, 2397.0, 2397.0, 2404.0, 2404.0, 2408.0, 2408.0, 2415.0, 2415.0, 2416.0, 2416.0, 2419.0, 2419.0, 2425.0, 2425.0, 2442.0, 2442.0, 2474.0, 2474.0, 2478.0, 2478.0, 2494.0, 2494.0, 2518.0, 2519.0, 2553.0, 2553.0, 2562.0, 2563.0, 2602.0, 2603.0, 16.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Jill MAIL,Murrumbidgee,SUSTAINABLE AUSTRALIA (ACT),"[284.0, 284.0, 287.0, 287.0, 287.0, 288.0, 288.0, 295.0, 295.0, 295.0, 295.0, 3.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Mark O'CONNOR,Murrumbidgee,SUSTAINABLE AUSTRALIA (ACT),"[368.0, 368.0, 372.0, 372.0, 372.0, 372.0, 372.0, 372.0, 372.0, 372.0, 372.0, 583.0, 584.0, 591.0, 591.0, 604.0, 604.0, 604.0, 604.0, 649.0, 649.0, 674.0, 676.0, 736.0, 736.0, 832.0, 832.0, 857.0, 858.0, 8.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Giulia JONES,Murrumbidgee,CANBERRA LIBERALS,"[3594.0, 3594.0, 4926.0, 4927.0, 4927.0, 4931.0, 4931.0, 4935.0, 4935.0, 4940.0, 4941.0, 4948.0, 4948.0, 4965.0, 4965.0, 4973.0, 4973.0, 4984.0, 4984.0, 5015.0, 5016.0, 5024.0, 5025.0, 5063.0, 5064.0, 5113.0, 5114.0, 5159.0, 5159.0, 5216.0, 5217.0, 5222.0, 5223.0, 5300.0, 5301.0, 5850.0, 5966.0, 5987.0, 5987.0, 6039.0, 6043.0, 6966.0, 7154.0, 7431.0, 7437.0, 7550.0, 7552.0, 7711.0, 7717.0, 7792.0, 7799.0, 12403.0, 12403.0, 12403.0, 12403.0, 8343.0]"
 Jeremy HANSON,Murrumbidgee,CANBERRA LIBERALS,"[11224.0, 11224.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0, 8343.0]"
 Jessica ADELAN-LANGFORD,Murrumbidgee,CANBERRA LIBERALS,"[1340.0, 1340.0, 1635.0, 1648.0, 1648.0, 1649.0, 1649.0, 1652.0, 1652.0, 1654.0, 1654.0, 1656.0, 1656.0, 1662.0, 1662.0, 1667.0, 1667.0, 1671.0, 1671.0, 1687.0, 1687.0, 1694.0, 1694.0, 1720.0, 1720.0, 1731.0, 1731.0, 1749.0, 1749.0, 1774.0, 1774.0, 1786.0, 1786.0, 1824.0, 1824.0, 295.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Paul HOUSE,Murrumbidgee,CANBERRA LIBERALS,"[1737.0, 1737.0, 2072.0, 2072.0, 2072.0, 2073.0, 2073.0, 2074.0, 2074.0, 2074.0, 2075.0, 2076.0, 2076.0, 2082.0, 2082.0, 2086.0, 2086.0, 2097.0, 2097.0, 2113.0, 2113.0, 2118.0, 2118.0, 2136.0, 2136.0, 2153.0, 2153.0, 2181.0, 2181.0, 2224.0, 2224.0, 2224.0, 2224.0, 2266.0, 2269.0, 2605.0, 2681.0, 2695.0, 2695.0, 2724.0, 2725.0, 416.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Peter HOSKING,Murrumbidgee,CANBERRA LIBERALS,"[3530.0, 3530.0, 4261.0, 4263.0, 4263.0, 4266.0, 4266.0, 4267.0, 4267.0, 4271.0, 4271.0, 4275.0, 4275.0, 4283.0, 4284.0, 4286.0, 4286.0, 4290.0, 4290.0, 4310.0, 4310.0, 4314.0, 4314.0, 4340.0, 4342.0, 4366.0, 4366.0, 4398.0, 4399.0, 4461.0, 4461.0, 4469.0, 4469.0, 4525.0, 4526.0, 4949.0, 5041.0, 5052.0, 5052.0, 5099.0, 5100.0, 6072.0, 6281.0, 6559.0, 6567.0, 6624.0, 6625.0, 6733.0, 6735.0, 6762.0, 6771.0, 1085.0, 1058.0, 9.0, nan, nan]"
 Michael LINDFIELD,Murrumbidgee,THE COMMUNITY ALLIANCE PARTY (ACT),"[235.0, 235.0, 239.0, 239.0, 239.0, 239.0, 239.0, 374.0, 375.0, 379.0, 379.0, 381.0, 381.0, 387.0, 387.0, 394.0, 395.0, 399.0, 399.0, 6.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Nancy-Louise SCHERGER,Murrumbidgee,THE COMMUNITY ALLIANCE PARTY (ACT),"[178.0, 178.0, 180.0, 180.0, 180.0, 181.0, 181.0, 2.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Alexander KLINKON,Murrumbidgee,LIBERAL DEMOCRATS,"[138.0, 138.0, 139.0, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Brendan CUMPSTON,Murrumbidgee,LIBERAL DEMOCRATS,"[153.0, 153.0, 166.0, 198.0, 198.0, 242.0, 242.0, 243.0, 243.0, 13.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Fergus BROWN,Murrumbidgee,LIBERAL DEMOCRATS,"[141.0, 141.0, 144.0, 167.0, 167.0, 3.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Roman GOWOR,Murrumbidgee,LIBERAL DEMOCRATS,"[215.0, 215.0, 221.0, 242.0, 242.0, 285.0, 285.0, 286.0, 286.0, 370.0, 370.0, 372.0, 372.0, 375.0, 375.0, 376.0, 376.0, 637.0, 637.0, 651.0, 651.0, 653.0, 653.0, 666.0, 666.0, 677.0, 677.0, 6.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Tom HAMER,Murrumbidgee,LIBERAL DEMOCRATS,"[166.0, 166.0, 169.0, 201.0, 201.0, 243.0, 243.0, 244.0, 244.0, 339.0, 339.0, 340.0, 340.0, 343.0, 343.0, 344.0, 344.0, 3.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Deborah FIELD,Murrumbidgee,ANIMAL JUSTICE PARTY,"[567.0, 567.0, 574.0, 575.0, 575.0, 577.0, 577.0, 579.0, 579.0, 582.0, 583.0, 596.0, 596.0, 600.0, 600.0, 605.0, 605.0, 609.0, 609.0, 630.0, 630.0, 1008.0, 1011.0, 1055.0, 1055.0, 1098.0, 1099.0, 1124.0, 1125.0, 1269.0, 1269.0, 1282.0, 1282.0, 13.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Jessica MONTAGNE,Murrumbidgee,ANIMAL JUSTICE PARTY,"[504.0, 504.0, 512.0, 514.0, 514.0, 519.0, 519.0, 521.0, 521.0, 525.0, 526.0, 529.0, 529.0, 536.0, 536.0, 545.0, 545.0, 555.0, 555.0, 575.0, 576.0, 10.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Caroline LE COUTEUR,Murrumbidgee,THE GREENS,"[3248.0, 3248.0, 3261.0, 3262.0, 3262.0, 3262.0, 3262.0, 3267.0, 3267.0, 3269.0, 3269.0, 3274.0, 3274.0, 3287.0, 3287.0, 3296.0, 3296.0, 3296.0, 3296.0, 3307.0, 3307.0, 3317.0, 3317.0, 3340.0, 3341.0, 3374.0, 3374.0, 3388.0, 3388.0, 3464.0, 3464.0, 3876.0, 3876.0, 4080.0, 4082.0, 4094.0, 4095.0, 5584.0, 5585.0, 5768.0, 5770.0, 5827.0, 5827.0, 6404.0, 6405.0, 6569.0, 6571.0, 6930.0, 6932.0, 7499.0, 7571.0, 7816.0, 7829.0, 7951.0, 7955.0, 8557.0]"
 Emma DAVIDSON,Murrumbidgee,THE GREENS,"[1171.0, 1171.0, 1175.0, 1175.0, 1175.0, 1177.0, 1177.0, 1177.0, 1177.0, 1180.0, 1180.0, 1185.0, 1185.0, 1190.0, 1190.0, 1198.0, 1198.0, 1204.0, 1204.0, 1208.0, 1208.0, 1229.0, 1229.0, 1251.0, 1251.0, 1271.0, 1271.0, 1279.0, 1279.0, 1319.0, 1319.0, 1734.0, 1734.0, 1897.0, 1897.0, 1907.0, 1907.0, 4.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Jennifer FAERBER,Murrumbidgee,THE GREENS,"[906.0, 906.0, 911.0, 914.0, 914.0, 914.0, 914.0, 914.0, 914.0, 914.0, 915.0, 915.0, 915.0, 918.0, 918.0, 921.0, 921.0, 924.0, 924.0, 938.0, 938.0, 960.0, 961.0, 979.0, 979.0, 997.0, 997.0, 1009.0, 1009.0, 1047.0, 1047.0, 7.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Brendan WHYTE,Murrumbidgee,UNGROUPED,"[315.0, 315.0, 321.0, 321.0, 321.0, 321.0, 321.0, 321.0, 321.0, 322.0, 323.0, 325.0, 325.0, 7.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Margaret WEBBER,Murrumbidgee,UNGROUPED,"[372.0, 372.0, 376.0, 376.0, 376.0, 378.0, 378.0, 382.0, 382.0, 382.0, 382.0, 386.0, 386.0, 532.0, 534.0, 537.0, 537.0, 538.0, 538.0, 594.0, 594.0, 599.0, 599.0, 6.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Robbie SWAN,Murrumbidgee,UNGROUPED,"[1746.0, 1746.0, 1761.0, 1761.0, 1761.0, 1765.0, 1765.0, 1770.0, 1770.0, 1777.0, 1777.0, 1782.0, 1782.0, 1827.0, 1827.0, 1833.0, 1833.0, 1839.0, 1839.0, 1869.0, 1869.0, 1902.0, 1902.0, 2060.0, 2060.0, 2157.0, 2157.0, 2188.0, 2188.0, 2305.0, 2306.0, 2327.0, 2327.0, 2606.0, 2609.0, 2632.0, 2633.0, 2677.0, 2678.0, 2732.0, 2732.0, 2808.0, 2813.0, 26.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
exhausted,Murrumbidgee,nan,"[nan, nan, nan, 1.0, 1.0, 2.0, 2.0, 4.0, 4.0, 5.0, 5.0, 6.0, 6.0, 9.0, 9.0, 11.0, 11.0, 14.0, 14.0, 17.0, 17.0, 23.0, 23.0, 41.0, 41.0, 89.0, 90.0, 495.0, 496.0, 618.0, 621.0, 647.0, 648.0, 856.0, 859.0, 915.0, 917.0, 982.0, 984.0, 1110.0, 1117.0, 1228.0, 1238.0, 2114.0, 2127.0, 2391.0, 2395.0, 2832.0, 2840.0, 2840.0, 2840.0, 3677.0, 3691.0, 4625.0, 4629.0, 4629.0]"
